proverb_id,proverb,meaning,theme,example
P142,পানিতে/জলে কুমির ডাঙায় বাঘ,"দুদিকেই বিপদ, রক্ষার কোনো পথ নেই; উভয়সঙ্কট।",general,"অফিসের ঊর্ধ্বতন কর্মকর্তার অন্যায্য আবদার মেনে নেওয়া বা সরাসরি প্রতিবাদ করা—উভয় পথেই চাকরি হারানোর চরম ঝুঁকি তৈরি হয়েছে। নিজের নীতি রক্ষা করতে গেলে বরখাস্ত হতে হবে, আবার চুপ থাকলে মিথ্যা দুর্নামের দায় মাথায় নিতে হবে। এই উভয়সঙ্কটময় পরিস্থিতিতে দাঁড়িয়ে সঠিক সিদ্ধান্ত নেওয়া অসম্ভব হয়ে উঠেছে।"
P143,ফল ও ছায়াযুক্ত গাছকে আশ্রয় করতে হয়,ফল পাওয়া না গেলেও ছায়া পাওয়া যাবেই।,general,বার্ষিক মূল্যায়নে কাঙ্ক্ষিত উচ্চ পদ না পেলেও সিনিয়র ম্যানেজারের অধীনে কাজ চালিয়ে যাওয়ার সিদ্ধান্ত নিলেন রায়হান। প্রতিদিনের নিয়মিত কাজের মাধ্যমে তিনি ঊর্ধ্বতন কর্মকর্তার আস্থা অর্জন করলেন। শেষ পর্যন্ত বড় পদোন্নতি হাতছাড়া হলেও দলীয় প্রধানের বিশেষ সুনজরে থাকায় তার চাকরিটি সম্পূর্ণ নিরাপদ রইল।
P144,বিপদই মানুষের প্রকৃত কষ্টিপাথর,"বিপদে পড়লেই বুঝা যায় মানুষ বিপদ কাটিয়ে উঠার শক্তি, বুদ্ধি ধরে কিনা।",general,হঠাৎ করে মূল প্রকল্প প্রধান পদত্যাগ করায় পুরো টিম চরম অনিশ্চয়তার মুখে পড়েছিল। তখন জুনিয়র ম্যানেজার অংকন নিজ দায়িত্বে সম্পূর্ণ দায়িত্ব কাঁধে তুলে নিয়ে দিনরাত পরিশ্রম করে প্রজেক্টটি সফলভাবে শেষ করল। তার এই দূরদর্শিতা ও সংকট উত্তরণের দক্ষতা দেখে উচ্চপদস্থ কর্তারা তাকে সরাসরি বিভাগীয় প্রধান হিসেবে উন্নীত করলেন।
P145,ভদ্রলোক গাছে ফলে না।,"মার্জিত, পরিশীলিত খুব কম হয়, গাছের ফলের মর সহজলভ্য নয়।",general,অফিসের সিনিয়র ম্যানেজার পদে পদোন্নতির জন্য বেশ কয়েকজন সহকর্মী তীব্র লবিং শুরু করেছিলেন। তাদের নৈতিক আচরণ ও পেশাদারিত্ব বজায় রাখার কারণে শেষ পর্যন্ত অসাধු উপায়ে এগিয়ে যাওয়া ব্যক্তিরাই পদটি দখল করে নিলেন। এতে প্রমাণিত হলো যে কর্পোরেট দুনিয়ায় নীতিবান ও সৎ মানুষের দেখা পাওয়া সত্যিই দুর্লভ।
P146,মানুষ মনের ভাব লুকাতে পারে না,মুখছবি মানুষের মনের আয়না,general,ক্লায়েন্টের দেওয়া চূড়ান্ত সময়সীমার মধ্যে কোডের বড় ত্রুটি ঠিক করতে না পেরে তরুণ ফ্রিল্যান্সারটি মুখে আত্মবিশ্বাসী হাসি বজায় রাখল। তবে তার কপালে জমে থাকা বিন্দু বিন্দু ঘাম এবং অনবরত কাঁপতে থাকা আঙুলগুলো আসন্ন ব্যর্থতার জানান দিচ্ছিল। শেষ পর্যন্ত ক্লায়েন্ট তার সেই কৃত্রিম হাসির আড়ালে লুকিয়ে থাকা চরম আতঙ্ক ঠিকই ধরে ফেললেন।
P147,যেমন সাপ তেমন লাঠি,যেমন ক্রুর প্রকৃতিড় লোক তেমন তার শাস্তি।,general,সহকর্মীদের পেছনে লাগা আর মিথ্যা অপবাদ ছড়ানোই ছিল তার প্রধান কাজ। ঊর্ধ্বতন কর্তৃপক্ষ তার এই বিষাক্ত স্বভাব বুঝতে পেরে পদোন্নতির তালিকা থেকে তার নাম চিরতরে বাদ দিয়ে দিল। ফলে তার কুটিল আচরণের উপযুক্ত পরিণাম সে হাতেনাতে পেয়ে গেল।
P148,রসের ঘরে গৌর নাচে,পয়সা থাকলেই আমোদপ্রমোদ ফূর্তি করা যায়।,general,বার্ষিক মূল্যায়নে ভালো করার পরও সাধারণ কর্মীরা কোনো পদোন্নতি পেল না। কিন্তু ম্যানেজারের জন্য একটি বিশাল পার্টির আয়োজন করতেই রাতারাতি তার কাঙ্ক্ষিত পদটি মিলে গেল। এতে প্রমাণিত হয় যে অতিরিক্ত অর্থ ব্যয় করতে পারলে অফিসের কাজ কঠিন হয় না।
P149,লোভ মানুষের পরমশত্রু,বেশি লোভ করলে পাপ হয় এবং পাপ করলে ধ্বংস অনিবার্য।,general,অফিসে নতুন পদোন্নতির দৌড়ে এগিয়ে যাওয়ার জন্য রোহন সহকর্মীদের গুরুত্বপূর্ণ প্রজেক্টের ফাইল চুরি করে নিজের নামে জমা দিল। সে দ্রুত বড় পদে পৌঁছানোর অন্ধ মোহে নৈতিকতার সব সীমা লঙ্ঘন করে বসল। শেষ পর্যন্ত ম্যানেজমেন্ট বিষয়টি ধরে ফেললে তাকে চাকরিচ্যুত করা হয়।
P150,শোল বোয়ালের পোনা; যার যারটা তার কাছে সোনা,সব মায়ের কাছে তার সন্তান শ্রেষ্ঠ।,general,"অফিসের বার্ষিক মূল্যায়নে সবাই যখন অন্যের কাজের ভুল ধরতে ব্যস্ত, তখন সিনিয়র ম্যানেজার তার নিজের অদক্ষ জুনিয়র টিমকে সেরা হিসেবে উপস্থাপন করলেন। তিনি ঊর্ধ্বতন কর্তৃপক্ষের সামনে তাদের ছোটখাটো অবদানকে বড় করে তুলে ধরলেন। ফলস্বরূপ, নানা ত্রুটি থাকা সত্ত্বেও তার দলের সবাই পদোন্নতির তালিকায় অগ্রাধিকার পেল।"
P151,ষটকর্ণে মন্ত্রভেদ,মন্ত্রণার কথা তৃতীয়ব্যক্তি জানলেই সেটা আর গোপন থাকে না; মন্ত্রণা শুধু রাজা আর মন্ত্রীর মাঝে হওয়া উচিৎ।,general,অফিসে নতুন উচ্চপদে পদোন্নতির কথা কেবল বিশ্বস্ত ম্যানেজারের সাথেই আলোচনা করেছিলেন রায়হান সাহেব। কিন্তু সহকর্মীদের অনেকেই সেই গোপনীয় কৌশল জেনে যাওয়ায় প্রতিযোগীরা তার আগেই পরিকল্পনা ফাঁদে ফেলে দিল। ফলে শেষ মুহূর্তে পদোন্নতির সুযোগ হাতছাড়া হয়ে গেল।
P152,সাগরও শুকায় না পাপও লুকায় না,"সাগর যেমন কোনদিন শুকাবে না, পাপও তেমনি কোনদিন লুকনো যাবে না।",general,সহকর্মীর গুরুত্বপূর্ণ প্রেজেন্টেশন ফাইলটি চুরির মাধ্যমে অনৈতিকভাবে নিজের নামে উপস্থাপন করে সে শীর্ষ পদে পদোন্নতি বাগিয়ে নেয়। কিন্তু অচিরেই তার জালিয়াতির প্রমাণ সবার সামনে চলে আসায় কোম্পানি তাকে চাকরিচ্যুত করে। এতে তার দীর্ঘদিনের অর্জিত সুনাম চিরতরে ধুলোয় মিশে যায়।
P153,হাতে জল গলে না,অত্যন্ত কৃপণ ব্যক্তি।,general,অফিসের বার্ষিক পারফরম্যান্স বোনাস বিতরণের সময় ম্যানেজার সাহেব কর্মীদের দীর্ঘদিনের পরিশ্রমের ন্যায্য পাওনা থেকে বঞ্চিত করলেন। সামান্য কিছু বাড়তি খরচের আশঙ্কায় তিনি প্রতিটি ফাইলের হিসাব খুঁটিয়ে দেখে প্রাপ্য কমিশন আটকে দিলেন। ফলে পুরো টিম কঠোর পরিশ্রম করেও কোনো আর্থিক স্বীকৃতি বা পদোন্নতির মুখ দেখল না।
P154,"‘কি হতে পারি’ কথা নয়, কথা হল ‘কি করতে পারি'",নিজের চেষ্টায় করার আনন্দই আলাদা।,general,অফিসের সিনিয়র ম্যানেজার পদটি পাওয়ার জন্য অনেক সহকর্মী দীর্ঘদিন ধরে ঊর্ধ্বতন কর্তৃপক্ষের কাছে কেবল তদবির ও চাটুকারিতা চালিয়ে যাচ্ছিলেন। কিন্তু অয়ন পিছিয়ে না থেকে নিজের দায়িত্বের প্রজেক্টটি একা হাতে নির্দিষ্ট সময়ের আগেই সফলভাবে সম্পন্ন করে কোম্পানির লাভ বাড়িয়ে দিল। শেষ পর্যন্ত ঊর্ধ্বতন কর্তারা তার এই কর্মদক্ষতা ও বাস্তব অবদানকেই মূল্যায়ন করলেন।
P155,'বিয়ে কর কালো তাই গৃহস্থের ভালো',গৃহস্থকে কাল মেয়ে বিয়ে করার পরামর্শ,general,"সবাই যখন বড় কোনো লোভনীয় প্রজেক্টের পেছনে ছুটছিল, তখন সে চুপচাপ পড়ে থাকা সবচেয়ে কঠিন এবং জটিল দায়িত্বটি নিজের কাঁধে তুলে নিল। ম্যানেজমেন্টের কাছে নিজের বাহবা নেওয়ার চেয়ে সে নিখুঁতভাবে কাজটি সম্পন্ন করার ওপর বেশি জোর দিল। এর ফলে ঊর্ধ্বতন কর্তৃপক্ষের আস্থা অর্জন করে সে সহজেই কাঙ্ক্ষিত পদোন্নতিটি পেয়ে গেল।"
P156,অতিঘরন্তী না পায় ঘর,ভাগ্যদোষে অতি নিপুণা ঘরণীও সংসার পাততে পারে না।,general,অফিসের প্রতিটি নিয়ম নিখুঁতভাবে মেনে চলার পরও রহমত সাহেব পদোন্নতির চূড়ান্ত তালিকায় স্থান পেলেন না। তিনি তার কাজের প্রতিটি ধруп এত বেশি নিখুঁত করতে গেলেন যে শেষ পর্যন্ত কোম্পানির নির্ধারিত ডেডলাইনেই প্রজেক্ট জমা দিতে ব্যর্থ হলেন। ফলে অতিরিক্ত দক্ষতা দেখানোর এই প্রবণতাই তার কেরিয়ারের অগ্রগতির পথে বড় বাধা হয়ে দাঁড়াল।
P157,আমড়াগাছে আম ফলে না,কুবংশে সুসন্তান জন্মায় না; মন্দলোকের কাছে ভালো ব্যবহার প্রত্যাশা করা যায় না,general,অফিসের দুর্নীতিবাজ ও অদক্ষ ম্যানেজার দীর্ঘদিন ধরে কোনো ভালো প্রজেক্ট সময়মতো জমা দিতে পারেনি। ঊর্ধ্বতন কর্তৃপক্ষ তার ওপর ভরসা করে একটি বড় ক্লাইন্টের দায়িত্ব অর্পণ করে। শেষ পর্যন্ত সে যথারীতি ব্যর্থ হয় এবং পুরো টিম বড় ধরণের আর্থিক ক্ষতির মুখে পড়ে।
P158,ইঁদুর ডুবন্ত জাহাজ ছেড়ে পালায়,মানুষ বিপদে পড়লে উপকৃতরা আগে তাকে ছাড়ে।,general,প্রতিষ্ঠানের বার্ষিক অডিটে বিশাল আর্থিক তছরুপের অভিযোগ ওঠার সাথে সাথেই মার্কেটিং প্রধান তার দীর্ঘদিনের অনুগত সহকর্মীদের বিপদে ফেলে গোপনে পদত্যাগপত্র জমা দিলেন। ফলে তদন্ত কমিটির মুখোমুখি হয়ে বাকিরা বুঝতে পারলেন যে ক্ষমতার লোভ দেখিয়ে তাদের ব্যবহার করা হলেও চরম সংকটের মুহূর্তে আসল সুবিধাভোগী ব্যক্তিটি সবার আগে পিঠটান দিয়েছেন।
P159,ঈশ্বর যা করেন মঙ্গলের জন্যই করেন,ঈশ্বরের ইচ্ছা অনিচ্ছা আমাদের বোধগম্য নয়। তবে এই বিশ্বাস মনে রাখলে মন বিক্ষিপ্ত হয় না।,general,অনেক চেষ্টা সত্ত্বেও কাঙ্ক্ষিত পদোন্নতি না পেয়ে অর্ক প্রথমে ভীষণ হতাশ হয়ে পড়েছিল। সে তখন মন খারাপ না করে নিজের ভুলগুলো শুধরে নিয়ে আরও নিষ্ঠার সাথে কাজ করতে শুরু করল। কিছুদিন পর নতুন একটি বড় প্রকল্পের দায়িত্ব পেয়ে সে বুঝতে পারল আগের পদোন্নতি না হওয়াটাই তার ক্যারিয়ারের জন্য আসলে ভালো হয়েছিল।
P160,উড়তে পারে না ফুরফুর করে,"অক্ষমের বাড়াবাড়ি; কাজ করার শক্তি নেই, তবুও কাজ করার ইচ্ছা জাগে।",general,সংসারের নিত্যদিনের টানাপোড়েন না বুঝেই নতুন জামাই শৌখিনভাবে শহরে বিলাসবহুল ফ্ল্যাট ভাড়া নেওয়ার জেদ ধরল। অথচ তার সামান্য বেতনের চাকরি দিয়ে চাল-ডালের খরচ মেটানোই কষ্টকর হয়ে দাঁড়ায়। শেষ পর্যন্ত অতিরিক্ত ঋণের দায়ে তাদের সংসারে নিত্যদিন অশান্তি লেগেই রইল।
P161,ঊনো বর্ষা দুনো শীত- খনা,বৃষ্টি কমে হলে শীত বেশি পড়ে।,general,বছরের শুরুতে লক্ষ্যমাত্রা পূরণে অবহেলা করায় সিনিয়র ম্যানেজমেন্টের কাছে চরম তিরস্কার শুনতে হয়েছিল। পরবর্তীতে কঠোর পরিশ্রমে সেই ঘাটতি পুষিয়ে নিলেও অন্য ডিপার্টমেন্টের সাথে কোন্দল বেড়ে গেল। শেষ পর্যন্ত কাজের বড় চাপ সামলাতে গিয়ে মানসিক অবসাদ ও প্রমোশন হাতছাড়া হওয়ার পরিস্থিতি তৈরি হলো।
P162,এমন মানবজীবন রইল পতিত আবাদ করলে ফলত সোনা,ঠিক সময়ে ঠিক কাজ করলে জীবনরূপ জমি ফুলে-ফলে ভরে তোলা যায়,general,কোডিং ত্রুটিগুলো প্রথম দিকে সমাধান না করে ফেলে রেখেছিলেন ডেভেলপার আদনান। ক্লায়েন্টের ডেডলাইনের আগের রাতে শত চেষ্টা করেও তিনি সার্ভার ক্র্যাশ ঠিক করতে পারেননি এবং অর্ডার বাতিল হয়ে যায়। নির্দিষ্ট মুহূর্তে যথাযথ পদক্ষেপ না নিলে বড় ধরনের মাশুল গুণতে হয়।
P163,"ওল বলে, মানকচু তুই নাকি লাগ",নিজের ত্রুটির প্রতি নজর নেই পরের দোষ খুঁজে বেড়ায়।,general,বার্ষিক মূল্যায়নে নিজেই কাজের চরম বিশৃঙ্খলা তৈরি করেও সিনিয়র ম্যানেজার সবার সামনে নিজের ভুল ঢাকতে জুনিয়র সহকর্মীদের তীব্র সমালোচনা করেন। অথচ তার নিজের ফাইলগুলোতে সবচেয়ে বেশি অডিট আপত্তি রয়েছে যা তিনি সম্পূর্ণ এড়িয়ে যান। এর ফলে অফিসে তার বিশ্বাসযোগ্যতা পুরোপুরি নষ্ট হয়ে যায় এবং জুনিয়রদের মনে অসন্তোষ তৈরি হয়।
P164,কুমিরের সঙ্গে বিবাদ করে জলে/পানিতে বাস,"যার যেখানে প্রভুত্ব, সেখানে তার সাথে বিবাদ করে বাস করা যায় না।",general,"অফিসের কঠোর নীতি নির্ধারণকারী উর্ধ্বতন কর্মকর্তার সিদ্ধান্তের বিরুদ্ধে সরাসরি অবস্থান নিয়েছিল উদীয়মান তরুণ কর্মকর্তা অনিক। সে নিজের মতামত প্রকাশের জন্য বারবার কর্তৃপক্ষের উপর চড়াও হয় এবং ফলস্বরূপ তার বার্ষিক মূল্যায়ন নেতিবাচক হয়ে দাঁড়ায়। পরিশেষে, এই অপ্রয়োজনীয় দ্বন্দ্বে জড়িয়ে সে নিজের কাঙ্ক্ষিত পদোন্নতি তো হারালই, বরং চাকরি টিকিয়ে রাখাই তার জন্য কঠিন হয়ে পড়ল।"
P165,"খেয়ে যার হজম হয়, ব্যাধি তার দূরে রয়",হজম হওয়া সুস্থতার লক্ষণ।,general,অফিসের নতুন প্রজেক্টের কঠিন দায়িত্বগুলো জুনিয়র কর্মকর্তারা অনেক সময় সহজে গ্রহণ করতে চায় না। তারা প্রতিদিন একটু একটু করে কাজগুলো বুঝে নিয়ে নিখুঁতভাবে শেষ করতে সচেষ্ট হয়। নিয়মানুযায়ী ছোট ছোট চ্যালেঞ্জগুলো সফলভাবে পার করায় তাদের কর্মজীবনে বড় কোনো সংকট তৈরি হয় না।
P166,"গুরু বোবা শিষ্য কালা, যেমন গুরু তেমন চেলা",উভয়ই মন্দ/মূর্খ; মনিকাঞ্চনযোগ।,general,প্রতিষ্ঠানের শীর্ষ ব্যবস্থাপনার জন্য দুজন অযোগ্য কর্মীকে দায়িত্ব দেওয়া হয়েছিল। তারা দুজন মিলে ভুল কৌশল প্রণয়ন করে সমস্ত প্রকল্পের বাজেট পণ্ড করে দিল। পরিশেষে পুরো বিভাগটি লোকসানের মুখে পড়ে বন্ধ হয়ে গেল।
P167,ঘরের দরজা খোলা পেলে সাধুও চোর হয়,খোলা দরজা সজ্জনকেও প্রলুব্ধ করে।,general,অফিসের সিনিয়র ম্যানেজার তার ব্যক্তিগত লগইন পাসওয়ার্ডটি ডেস্কে পোস্ট ইটে লিখে রেখেছিলেন। জুনিয়র সহকারী লোভ সামলাতে না পেরে সেই গোপন কোড ব্যবহার করে নিজেই নিজের পদোন্নতির ফাইল অনুমোদন করে নিলেন। শেষ পর্যন্ত অভ্যন্তরীণ অডিটে বিষয়টি ধরা পড়ায় তার চাকরি চলে গেল।
P168,চাল নেই তার ধুচুনি নাড়া,দৈন্যাবস্থা চাপা দেওয়ার আপ্রাণ চেষ্টা।,general,অফিসের বার্ষিক মূল্যায়নে রিফাতের প্রজেক্ট পারফরম্যান্স একদম খারাপ হওয়ায় তার চাকরি হারানোর উপক্রম হয়েছিল। কিন্তু সে সবার সামনে বড় বড় কনসালটেন্সি বুক টেবিলের ওপর সাজিয়ে মিটিংয়ে লম্বা গলায় কথা বলতে শুরু করল। শেষ পর্যন্ত তার এই ভনিতা ধরা পড়ে যাওয়ায় বসের কাছে চরম অপমানিত হতে হলো।
P169,ছল করে জল আনা,এক কার্যসিদ্ধির জন্য অন্য কাজের অভিনয় করা।,general,বার্ষিক পদোন্নতির তালিকায় নিজের নাম তুলতে রিয়াদ সাহেব ঊর্ধ্বতন কর্মকর্তার ব্যক্তিগত কাজ তদারকি করার অভিনব কৌশল নিলেন। তিনি মূলত প্রকল্পের মূল দায়িত্বে নিজের ব্যর্থতা ঢাকতে এই চাটুকারিতার আশ্রয় নিলেন। পরিণামে কাজের মান উন্নত না হলেও ম্যানেজারের কৃপাদৃষ্টি ঠিকই তার অনুকূলে চলে আসল।
P170,জলবিন্দুপাতেন ক্রমশঃ পূর্যতে ঘটঃ,ফোঁটাফোঁটা জল পড়ে ঘট ভর্তি হয়; সৃষ্টি তিলেতিলে গড়ে ওঠে,general,অফিসে হঠাৎ করে একদিনে কেউ বড় কর্মকর্তা হতে পারে না। প্রতিদিনের ছোট ছোট দায়িত্ব সততার সাথে পালন করতে হয়। এভাবেই দীর্ঘদিনের নিখুঁত কাজের মূল্যায়ন হিসেবে একসময় কাঙ্ক্ষিত পদোন্নতি মেলে।
P171,ঝিনুকমাত্রেই শুক্তি থাকে না,হাত পা থাকলেই মানুষ হয় না; সব মানুষ মানুষ নয়,general,অফিসের সিনিয়র ম্যানেজার পদে দীর্ঘদিন কাজ করার সুবাদে প্রবীণ কর্মী হিসেবে তার নাম বিবেচনা করা হয়েছিল। কিন্তু তার মধ্যে নেতৃত্ব দেওয়ার মানসিকতা এবং প্রাতিষ্ঠানিক দূরদর্শিতার চরম ঘাটতি দেখতে পাওয়া গেল। ফলে ম্যানেজমেন্ট তাকে পদোন্নতি না দিয়ে কাজের জায়গায় বহাল রাখল।
P172,টাকায় বাঘের দুধ মেলে,অর্থে জোরে অসম্ভবকে সম্ভব করা যায়।,general,"বার্ষিক মূল্যায়নে ভালো করেও সাধারণ কর্মীরা উর্ধ্বতন কর্তৃপক্ষের মনোযোগ আকর্ষণ করতে ব্যর্থ হচ্ছিল। সিনিয়র ম্যানেজমেন্টকে ম্যানেজ করতে এবং নিজের পক্ষে রায় আনতে সে মোটা অংকের লবিং ফান্ড ব্যবহার করল। ফলস্বরূপ, কোনো যোগ্যতা না থাকা সত্ত্বেও সে সবার আগে কাঙ্ক্ষিত পদোন্নতিটি বাগিয়ে নিল।"
P173,ঠেলায় পড়লে বাঘেও ঘাস খায়,বাধ্য হলে অপছন্দকেও স্বীকার করতে হয়।,general,অফিসে সারাজীবন সৃজনশীল কাজের দায়িত্বে থাকতে পছন্দ করলেও হঠাৎ করেই বিপণন বিভাগের প্রধান পদটির জন্য প্রচণ্ড চাপের মুখে পড়তে হলো। নিরুপায় হয়ে নিজের স্বভাববিরুদ্ধ ও অপছন্দের লক্ষ্যমাত্রা পূরণের সেই দায়িত্ব তাকে ঘাড় পেতে নিতে হলো। শেষ পর্যন্ত বহু কসরত করে সে কাজটি সফলভাবে সম্পন্ন করল এবং নিজের কেরিয়ার বাঁচাতে বাধ্য হয়েই এই নতুন ভূমিকাটি মেনে নিল।
P174,"ডাঙায় বাঘের ভয়, জলেতে কুমীর","উভয়সঙ্কট; সমার্থক বাগধারা- এগুলে রাম পিছুলে রাবণ, শাঁখের করাত, যেতেও কাটে আসতেও কাটে; সাপের ছুঁচো গেলা ইত্যাদি",general,ক্লায়েন্টের সময়মতো প্রজেক্ট জমা দিতে কোড দ্রুত পরিবর্তন করতে গিয়ে নতুন সব জটিল ত্রুটি সামনে চলে আসে। কোড ঠিক করতে গেলে ডেডলাইন মিস হওয়ার শঙ্কায় ক্লায়েন্ট অর্ডার বাতিল করতে পারে। এমতাবস্থায় সে প্রযুক্তির এমন এক গোলকধাঁধায় আটকা পড়েছে যে কোনো সিদ্ধান্তই স্বস্তি দিচ্ছে না।
P175,ঢেঁকি কেন গাঁ বেড়াক না গড়ে পড়লে হল,"অন্য কাজ যা খুশি করুক, আমার কিছু যায় আসে না, আ্রমার কাজটা হলেই হল।",general,অফিসের সহকর্মীরা নিজেদের মধ্যে লবিং আর রাজনীতি নিয়ে ব্যস্ত সময় কাটাচ্ছিল। আমি কারো গ্রুপিংয়ে না ভিড়ে সম্পূর্ণ মনোযোগ নিজের কাজ ও প্রজেক্টের গুণগত মানের ওপর দিলাম। শেষ পর্যন্ত অন্যেরা ব্যর্থ হলেও আমার প্রমোশন নিশ্চিত হয়ে গেল।
P176,"তপ্ত ভাতে নুন জোটে না, পান্তা ভাতে ঘি",সামান্য বিষয় জোটে না অসামান্যের দাবী।,general,অফিসের সাধারণ ফাইলপত্র সময়মতো গুছিয়ে রাখার দক্ষতা নেই অথচ তরুণ কর্মীটি হঠাৎ করেই ডিরেক্টর পদ পাওয়ার দাবি তুলল। ম্যানেজমেন্ট তার এমন অযৌক্তিক উচ্চাশা দেখে বিস্মিত হলো। অথচ তার নিজের কাজের টেবিলটাই সবসময় বিশৃঙ্খল হয়ে থাকে।
P177,"থাকরে কুকুর আমার আশে, ভাত দেবো তোরে ভাদ্রমাসে",অনির্দিষ্ট কালের জন্য কাউকে আশা দিয়ে রাখা।,general,বসের বারবার মৌখিক আশ্বাসের ভিত্তিতে অনিমেষ অতিরিক্ত দায়িত্ব পালন করে যাচ্ছিল। মাস শেষে নতুন বেতনের কথা উঠলেই নানা অজুহাতে বিষয়টি এড়িয়ে যাওয়া হতো। শেষ পর্যন্ত সে বুঝতে পারল তাকে কেবল দীর্ঘমেয়াদী মিথ্যা আশ্বাসের মোহেই আটকে রাখা হয়েছে।
P178,দুঃখে অনুদ্বিগমনা সুখেচ বিগতস্পৃহ,দুঃখে অনুদ্বিগ্ন এবং সুখে স্পৃহাহীন থাকা।,general,"বার্ষিক মূল্যায়নে কাঙ্ক্ষিত পদোন্নতি না পেয়ে সহকর্মীরা যখন চরম হতাশায় নিমজ্জিত, তখন সে নিজের কাজ নিখুঁতভাবে চালিয়ে গেল। পরবর্তীতে অপ্রত্যাশিতভাবে সিনিয়র ম্যানেজমেন্টের বিশেষ দায়িত্ব পেলেও সে বিন্দুমাত্র অহংকার বা অতিরিক্ত উল্লাস প্রকাশ করল না। বরং সে আগের মতোই শান্ত থেকে পুরো টিমকে নিয়ে একসাথে এগিয়ে যাওয়ার পরিকল্পনা করল।"
P179,"ধনে সুখ নয়, মনে সুখ","ধনের সুখ ক্ষণস্থায়ী, মনের সুখ চিরস্থায়ী।",general,অফিসে নতুন পদোন্নতি পেয়ে অরিন্দম বড় কেবিনের অধিকারী হলেও কাজের অতিরিক্ত চাপে তার রাতের ঘুম পুরোপুরি হারিয়ে গেল। সে প্রতিদিন দলীয় বৈঠকের পর কেবল হিসাব মেলাতে ব্যস্ত থাকে কিন্তু নিজের ভেতর এক অদ্ভুত শূন্যতা অনুভব করে। ফলে এই বিলাসবহুল চেয়ারেও সে আগের মতো আর কোনো স্বস্তি খুঁজে পায় না।
P180,ন হি সুখং দুঃখখৈর্বিনা লভ্যতে,দুখঃবিনা সুখ হয় না; কষ্ট সহ্য না করলে কেষ্ট পাওয়া যায় না,general,অফিসের নতুন প্রকল্পের দায়িত্ব নেওয়ার পর থেকেই অনিয়মিত ঘুমের রাত আর অতিরিক্ত মানসিক চাপ সহ্য করতে হচ্ছিল। তবুও হাল ছেড়ে না দিয়ে প্রতিদিন টানা দশ ঘণ্টা করে কঠোর পরিশ্রম করে কাজটি সময়মতো জমা দিলাম। অবশেষে কর্তৃপক্ষের স্বীকৃতিস্বরূপ সিনিয়র ম্যানেজার পদে আমার পদোন্নতি হলো।
P181,"পাপ করলেই ভুগতে হয়, কথাটা যেন মনে রয়",মনে রেখো পাপের শাস্তি অনিবার্য।,general,সহকর্মীর গুরুত্বপূর্ণ প্রজেক্টের ফাইল চুরি করে নিজের নামে জমা দিয়ে সে পদোন্নতি বাগিয়ে নিয়েছিল। কিন্তু উচ্চপদস্থ কর্মকর্তারা তদন্তে তার এই চাতুরি ধরে ফেলেন এবং তাকে চাকরিচ্যুত করেন। ফলস্বরূপ তার দীর্ঘদিনের ক্যারিয়ার এক নিমিষেই ধ্বংস হয়ে গেল।
P182,ফল্গুনদী অন্তঃসলিলা,"চাপা স্বভাবের লোক যে বাইরে বেশ শান্তশিষ্ট, কিন্তু মনের গভীরে কি আছে জানা নেই।",general,অফিসের শান্ত স্বভাবের ম্যানেজার রফিক সাহেব সবসময় মুখ বুজে নিজের কাজ করে যেতেন এবং ঊর্ধ্বতন কর্মকর্তাদের সাথে খুব কম কথা বলতেন। হঠাৎ করে বার্ষিক মূল্যায়নের দিনে তার জমা দেওয়া প্রজেক্টের নিখুঁত কাজ দেখে সবাই অবাক হয়ে গেল। শেষ পর্যন্ত তার নীরব পরিশ্রমের ফলেই তিনি পদোন্নতি পেলেন।
P183,"বক, হাঁসের দলে শোভা পায় না",বিজ্ঞদের মাঝে অজ্ঞ শোভা পায় না।,general,"অফিসের সিনিয়র ম্যানেজার পদে নিয়োগের জন্য বোর্ড মিটিংয়ে জুনিয়র মার্কেটিং এক্সিকিউটিভ অনিরুদ্ধ তার নাম প্রস্তাব করায় সবাই অবাক হলো। সে কখনো বড় প্রজেক্ট পরিচালনার জটিলতা বোঝেনি এবং তার অভিজ্ঞতা ছিল একেবারেই নগণ্য। ফলস্বরূপ, ইন্টারভিউ বোর্ডে তার এই অপরিপক্বতার কারণে ঊর্ধ্বতন কর্মকর্তারা তাকে সম্পূর্ণ অযোগ্য ঘোষণা করলেন।"
P184,"ভাল করতে পারি না, মন্দ করতে পারি","ঈর্ষা, দ্বেষ, পরশ্রীকতরতার ইত্যাদি কারণে সাদারণ মানুষ অপরের অনিষ্টই বেশি করে।",general,"সহকর্মী সায়ন যখন সিনিয়র পদে উন্নীত হলো, তখন অন্য সহকর্মী মিলনের তা সহ্য হলো না। সে সরাসরি নিজের কাজের মান উন্নত করার চেষ্টা না করে উল্টো ঊর্ধ্বতন কর্তৃপক্ষের কাছে মিথ্যা অভিযোগ পাঠাল। এর ফলে পুরো প্রকল্পের কাজ পিছিয়ে গেল এবং শেষ পর্যন্ত কোম্পানির পরিবেশ চরম বিষাক্ত হয়ে উঠল।"
